Date,Open,High,Low,Close,Adj Close,Volume
2017-10-11,250.440002,250.440002,250.440002,250.440002,249.365234,8270
2017-10-12,262.959991,262.959991,262.959991,262.959991,261.831482,20345
2017-10-13,276.100006,276.100006,260.799988,265.940002,264.798737,53445
2017-10-16,273.760010,273.760010,252.660004,252.779999,251.695175,16152
2017-10-17,252.779999,256.000000,240.160004,240.160004,239.129333,8247
2017-10-18,228.399994,239.199997,228.160004,228.339996,227.360062,18380
2017-10-19,223.279999,227.979996,216.940002,219.479996,218.538086,15290
2017-10-23,210.000000,227.199997,208.520004,216.399994,215.471313,35932
2017-10-24,214.000000,227.220001,214.000000,227.220001,226.244873,12245
2017-10-25,238.580002,238.580002,215.860001,217.720001,216.785660,19425
2017-10-26,215.860001,228.600006,211.199997,228.300003,227.320236,12875
2017-10-27,239.199997,239.199997,222.399994,235.259995,234.250366,4837
2017-10-30,236.000000,237.880005,228.800003,229.259995,228.276108,3137
2017-10-31,236.000000,236.000000,224.000000,224.720001,223.755600,2200
2017-11-01,232.559998,232.559998,224.399994,225.619995,224.651749,2550
2017-11-02,230.960007,230.960007,220.839996,222.720001,221.764191,2237
2017-11-03,220.000000,226.800003,214.059998,221.559998,220.609161,1737
2017-11-06,216.399994,226.000000,214.000000,218.380005,217.442825,7835
2017-11-07,214.399994,220.399994,212.000000,215.220001,214.296371,6315
2017-11-08,210.000000,224.000000,208.000000,218.100006,217.164017,6237
2017-11-09,223.600006,224.000000,214.000000,216.039993,215.112854,5500
2017-11-10,214.399994,220.800003,210.039993,217.779999,216.845383,2377
2017-11-13,218.800003,228.399994,217.600006,220.220001,219.274902,6287
2017-11-14,214.020004,231.220001,214.020004,221.059998,220.111313,5137
2017-11-15,229.199997,229.199997,218.800003,220.000000,219.055862,2660
2017-11-16,218.220001,226.000000,216.000000,219.899994,218.956284,6287
2017-11-17,226.000000,226.000000,216.000000,217.259995,216.327606,3417
2017-11-20,216.800003,219.199997,208.199997,219.199997,218.259293,2020
2017-11-21,212.259995,222.000000,210.800003,216.000000,215.073029,6747
2017-11-22,216.820007,222.000000,216.800003,219.259995,218.319031,2137
2017-11-23,216.119995,225.979996,216.119995,217.580002,216.646240,157
2017-11-24,220.000000,220.000000,210.000000,216.000000,215.073029,2945
2017-11-27,212.539993,219.919998,212.000000,219.919998,218.976196,982
2017-11-28,217.960007,218.000000,213.220001,216.000000,215.073029,975
2017-11-29,210.440002,220.000000,210.000000,214.759995,213.838348,3130
2017-11-30,212.800003,215.960007,211.639999,212.880005,211.966415,2672
2017-12-01,223.179993,223.179993,212.399994,217.399994,216.466995,742
2017-12-04,213.399994,213.399994,206.559998,209.539993,208.640747,1047
2017-12-05,212.399994,212.399994,199.199997,203.679993,202.805893,1792
2017-12-06,257.600006,262.799988,257.600006,259.200012,258.087646,2062
2017-12-07,212.000000,220.000000,205.619995,210.779999,209.875427,2890
2017-12-08,217.600006,217.600006,208.039993,216.800003,215.869598,810
2017-12-11,216.800003,226.800003,216.800003,222.399994,221.445541,3950
2017-12-12,224.000000,229.600006,218.039993,218.880005,217.940674,4247
2017-12-13,218.399994,234.360001,216.000000,219.679993,218.737228,1040
2017-12-14,219.600006,219.600006,216.000000,216.399994,215.471313,597
2017-12-15,224.399994,224.399994,214.000000,215.759995,214.834045,647
2017-12-18,214.440002,224.399994,214.399994,218.880005,217.940674,1897
2017-12-19,220.020004,224.000000,220.000000,224.000000,223.038681,510
2017-12-20,223.600006,230.399994,220.000000,228.000000,227.021530,2237
2017-12-21,231.199997,232.000000,223.279999,231.899994,230.904770,3152
2017-12-22,216.039993,233.600006,216.039993,228.059998,227.081268,7315
2017-12-26,232.000000,245.880005,221.320007,239.660004,238.631485,4392
2017-12-27,248.000000,248.000000,230.000000,230.000000,229.012939,2920
2017-12-28,239.580002,239.580002,224.039993,232.500000,231.502228,282
